
2021-05-10 14:40:01.593881 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 14:50:01.954621 - Cantidad de registros ingresados: 9, tipo: FT
2021-05-10 14:50:01.957752 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 15:00:02.144755 - Cantidad de registros ingresados: 6, tipo: FT
2021-05-10 15:00:02.191008 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 15:10:01.495240 - Cantidad de registros ingresados: 8, tipo: FT
2021-05-10 15:10:01.751940 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 15:20:01.904237 - Cantidad de registros ingresados: 2, tipo: FT
2021-05-10 15:20:01.924642 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 15:30:02.069602 - Cantidad de registros ingresados: 2, tipo: FT
2021-05-10 15:30:02.098401 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 15:40:01.301208 - Cantidad de registros ingresados: 3, tipo: FT
2021-05-10 15:40:01.311101 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 15:50:01.495447 - Cantidad de registros ingresados: 10, tipo: FT
2021-05-10 15:50:01.527521 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 16:00:01.776167 - Cantidad de registros ingresados: 7, tipo: FT
2021-05-10 16:00:01.791314 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 16:10:01.973903 - Cantidad de registros ingresados: 8, tipo: FT
2021-05-10 16:10:01.992914 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 16:20:01.161726 - Cantidad de registros ingresados: 1, tipo: FT
2021-05-10 16:20:01.188868 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 16:30:01.340852 - Cantidad de registros ingresados: 4, tipo: FT
2021-05-10 16:30:01.354238 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 16:40:01.545499 - Cantidad de registros ingresados: 14, tipo: FT
2021-05-10 16:40:01.558145 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 16:50:01.748805 - Cantidad de registros ingresados: 11, tipo: FT
2021-05-10 16:50:01.772591 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 17:00:01.952822 - Cantidad de registros ingresados: 9, tipo: FT
2021-05-10 17:00:01.981239 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 17:10:02.258028 - Cantidad de registros ingresados: 7, tipo: FT
2021-05-10 17:10:02.279972 - Cantidad de registros ingresados: 1, tipo: NC
2021-05-10 17:20:01.553952 - Cantidad de registros ingresados: 2, tipo: FT
2021-05-10 17:20:01.576258 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 17:30:01.741531 - Cantidad de registros ingresados: 9, tipo: FT
2021-05-10 17:30:01.826136 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 17:40:01.970803 - Cantidad de registros ingresados: 2, tipo: FT
2021-05-10 17:40:01.978849 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 17:50:02.162454 - Cantidad de registros ingresados: 14, tipo: FT
2021-05-10 17:50:02.179496 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 18:00:01.358624 - Cantidad de registros ingresados: 11, tipo: FT
2021-05-10 18:00:01.385493 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 18:10:01.572609 - Cantidad de registros ingresados: 13, tipo: FT
2021-05-10 18:10:01.584350 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 18:20:01.790452 - Cantidad de registros ingresados: 16, tipo: FT
2021-05-10 18:20:01.802661 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 18:30:01.993475 - Cantidad de registros ingresados: 13, tipo: FT
2021-05-10 18:30:02.020645 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 18:40:01.203611 - Cantidad de registros ingresados: 9, tipo: FT
2021-05-10 18:40:01.227802 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 18:50:01.424351 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-10 18:50:01.444255 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 19:00:01.606393 - Cantidad de registros ingresados: 5, tipo: FT
2021-05-10 19:00:01.658798 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 19:10:01.808083 - Cantidad de registros ingresados: 3, tipo: FT
2021-05-10 19:10:01.826239 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 19:20:01.968764 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-10 19:20:01.992411 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 19:30:01.125195 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-10 19:30:01.127680 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 19:40:01.269243 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-10 19:40:01.271817 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 19:50:01.408882 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-10 19:50:01.412094 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 20:00:01.549258 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-10 20:00:01.552209 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 20:10:01.687859 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-10 20:10:01.690479 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 20:20:01.836410 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-10 20:20:01.840173 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 20:30:01.975683 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-10 20:30:01.978774 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 20:40:02.114606 - Cantidad de registros ingresados: 0, tipo: FT
2021-05-10 20:40:02.117710 - Cantidad de registros ingresados: 0, tipo: NC
2021-05-10 20:50:01.252570 - Cantidad de registros ingresados: 0, tipo: FT
